<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^DJI,D,20080702,000000,11382.34,11510.41,11180.58,11215.51,5276090000,0
^DJI,D,20080703,000000,11297.33,11336.49,11158.02,11288.53,3247590000,0
^DJI,D,20080707,000000,11289.19,11477.52,11094.44,11231.96,5265420000,0
^DJI,D,20080708,000000,11225.03,11459.52,11101.19,11384.21,6034110000,0
^DJI,D,20080709,000000,11381.93,11505.12,11115.61,11147.44,5181000000,0
^DJI,D,20080710,000000,11148.01,11351.24,11006.01,11229.02,5840430000,0
^DJI,D,20080711,000000,11226.17,11292.04,10908.64,11100.54,6742200000,0
^DJI,D,20080714,000000,11103.64,11299.70,10972.63,11055.19,5434860000,0
^DJI,D,20080715,000000,11050.80,11201.67,10731.96,10962.54,7363640000,0
^DJI,D,20080716,000000,10961.89,11308.41,10831.61,11239.28,6738630400,0
^DJI,D,20080717,000000,11238.39,11538.50,11118.46,11446.66,7365209600,0
^DJI,D,20080718,000000,11436.56,11599.57,11290.50,11496.57,5653280000,0
^DJI,D,20080721,000000,11495.02,11663.40,11339.02,11467.34,4630640000,0
^DJI,D,20080722,000000,11457.90,11692.79,11273.32,11602.50,6180230000,0
^DJI,D,20080723,000000,11603.39,11820.21,11410.02,11632.38,6705830000,0
^DJI,D,20080724,000000,11630.34,11714.21,11288.79,11349.28,6127980000,0
^DJI,D,20080725,000000,11341.14,11540.78,11252.47,11370.69,4672560000,0
^DJI,D,20080728,000000,11369.47,11439.25,11094.76,11131.08,4282960000,0
^DJI,D,20080729,000000,11133.44,11444.05,11086.13,11397.56,5414240000,0
^DJI,D,20080730,000000,11397.56,11681.47,11328.68,11583.69,5631330000,0
^DJI,D,20080731,000000,11577.99,11631.16,11317.69,11378.02,5346050000,0
^DJI,D,20080801,000000,11379.89,11512.61,11205.41,11326.32,4684870000,0
^DJI,D,20080804,000000,11326.32,11449.67,11144.59,11284.15,4562280000,0
^DJI,D,20080805,000000,11286.02,11652.24,11286.02,11615.77,1219310000,0
^DJI,D,20080806,000000,11603.64,11745.71,11454.64,11656.07,4873420000,0
^DJI,D,20080807,000000,11655.42,11680.50,11355.63,11431.43,5319380000,0
^DJI,D,20080808,000000,11432.09,11808.49,11344.23,11734.32,4966810000,0
^DJI,D,20080811,000000,11729.67,11933.55,11580.19,11782.35,5067310000,0
^DJI,D,20080812,000000,11781.70,11830.39,11541.43,11642.47,4711290000,0
^DJI,D,20080813,000000,11632.81,11689.05,11377.37,11532.96,4787600000,0
^DJI,D,20080814,000000,11532.07,11744.33,11399.84,11615.93,4064000000,0
^DJI,D,20080815,000000,11611.21,11776.41,11540.05,11659.90,4041820000,0
^DJI,D,20080818,000000,11659.65,11744.49,11410.18,11479.39,3829290000,0
^DJI,D,20080819,000000,11478.09,11501.45,11260.53,11348.55,4159760000,0
^DJI,D,20080820,000000,11345.94,11511.06,11240.18,11417.43,4555030000,0
^DJI,D,20080821,000000,11415.23,11501.29,11263.63,11430.21,4032590000,0
^DJI,D,20080822,000000,11426.79,11684.00,11426.79,11628.06,3741070000,0
^DJI,D,20080825,000000,11626.19,11626.19,11336.82,11386.25,3420600000,0
^DJI,D,20080826,000000,11383.56,11483.62,11284.47,11412.87,3587570000,0
^DJI,D,20080827,000000,11412.46,11575.14,11349.69,11502.51,3499610000,0
^DJI,D,20080828,000000,11499.87,11756.46,11493.72,11715.18,3854280000,0
^DJI,D,20080829,000000,11713.23,11730.49,11508.78,11543.55,3288120000,0
^DJI,D,20080902,000000,11545.63,11831.29,11444.79,11516.92,4783560000,0
^DJI,D,20080903,000000,11506.01,11629.69,11328.84,11532.88,5056980000,0
^DJI,D,20080904,000000,11532.48,11532.48,11130.26,11188.23,5212500000,0
^DJI,D,20080905,000000,11185.63,11301.73,10998.77,11220.96,5017080000,0
^DJI,D,20080908,000000,11224.87,11656.64,11224.87,11510.74,7351340000,0
^DJI,D,20080909,000000,11514.73,11623.50,11209.81,11230.73,7380630400,0
^DJI,D,20080910,000000,11233.91,11453.50,11135.64,11268.92,6543440000,0
^DJI,D,20080911,000000,11264.44,11461.15,11018.72,11433.71,6869249600,0
^DJI,D,20080912,000000,11429.32,11532.72,11191.08,11421.99,6273260000,0
^DJI,D,20080915,000000,11416.37,11416.37,10849.85,10917.51,8279510400,0
^DJI,D,20080916,000000,10905.62,11193.12,10604.70,11059.02,9459830400,0
^DJI,D,20080917,000000,11056.58,11068.87,10521.81,10609.66,9431870400,0
^DJI,D,20080918,000000,10609.01,11149.07,10403.75,11019.69,10082689600,0
